图片地址,作品名字,作品类型,点赞,评论,人气,作者
https://img.zhisheji.com/FhTxX8E4AODnMwayFRZ4a8T97ri2?imageMogr2/quality/100/sharpen/1/thumbnail/290x/crop/!290x180,洽洽品牌详情页视觉升级,详情页-汇吃美食,99,30,6855,点奥文化
https://img.zhisheji.com/Fp_B9qaspayT52SDQPP4hj9P1GcA?imageMogr2/quality/100/sharpen/1/thumbnail/290x/crop/!290x180,Onefold &amp; Montpl,网页-企业官网,64,36,4014,青Tee
https://img.zhisheji.com/Fj-ztKvjWOhDJnvqyCHrWp1HvfuL?imageMogr2/quality/100/sharpen/1/thumbnail/290x/crop/!290x180,【手写字】三十而已,平面-字体设计,42,13,3192,希琪
https://img.zhisheji.com/FgpiR9oTym-UL0oKMwXzk7QEVYU0?imageMogr2/quality/100/sharpen/1/thumbnail/290x/crop/!290x180,那大概是我们为了“艺术”最奋不顾身的日子,动漫-中/长篇漫画,48,19,2710,此刻无实物
https://img.zhisheji.com/FrvoGrkHXsxcUZmvMYin139i3GO1?imageMogr2/thumbnail/750x/crop/!346x216a202a98,魑魅魍魉,平面-字体设计,13,5,1555,敬文齋
https://img.zhisheji.com/lvFTpY6UK7KzYZb7oaaVMB6QZga3?imageMogr2/thumbnail/750x/crop/!674x421a35a0,创意广告 | 脖子不舒服 用SKG颈部按摩仪 K5,摄影-其他,33,6,3025,FOODOGRAPH
https://img.zhisheji.com/FgFKgDkKOsCq-J1FjL1VDi0dXEdr?imageMogr2/quality/100/sharpen/1/thumbnail/290x/crop/!290x180,致设计7周年庆海报设计,海报-其他,209,45,8940,任星星
https://img.zhisheji.com/FuiBEadmBbQgO68-QDHRA9gp7jU0?imageMogr2/quality/100/sharpen/1/thumbnail/290x/crop/!290x180,【佰芙·宠物食品包装设计合集】让我们来撒狗粮~,平面-包装设计,32,12,4514,小狼君Langcer
https://img.zhisheji.com/Fh8sNUaCg6gn_8NNmy5GdecmCF-h?imageMogr2/quality/100/sharpen/1/thumbnail/290x/crop/!290x180,&lt;Project Anew&gt;人类撤离计划,三维/C4D,41,23,3930,Diszy
https://img.zhisheji.com/FrXu91_msh8Mp5BpfUspg4QjUba3?imageMogr2/quality/100/sharpen/1/thumbnail/290x/crop/!290x180,手写玩意│2020第17发,平面-字体设计,29,12,3624,白鸽Bygoo
https://img.zhisheji.com/lty3QeGJw4wdEfEjJQAev9MhSbFz?imageMogr2/thumbnail/750x/crop/!320x200a227a351,中策集团威狮品牌首页/详情页设计,详情页-汽车用品,137,15,8322,点奥文化
https://img.zhisheji.com/lkhd0VV4otcXAkk8GFFNItxyiawb?imageMogr2/thumbnail/750x/crop/!750x469a0a0,胖哥俩中秋月饼 x INLIGHT 中秋 月饼 礼盒,摄影-产品,49,20,4997,IN LIGHT摄影
https://img.zhisheji.com/lp9quA8XNmIFNdr3OblCIPgzAEGM?imageMogr2/thumbnail/750x/crop/!750x469a0a527,小刀一多品牌策划设计分享,首页/专题-户外运动,48,24,4970,青火chenxiao
https://img.zhisheji.com/FkUWfE98sp_w-Ou1kKfjYTIZGvKd?imageMogr2/thumbnail/750x/crop/!750x469a0a181,重庆禁烟海报,平面-海报,229,35,8842,学啊兵
https://img.zhisheji.com/lsKijIYXr_97yKhoSLXfuIdOOfSh?imageMogr2/thumbnail/750x/crop/!750x469a0a218,JZ形象拍摄  I  外景大片,摄影-时尚,37,7,3768,HOPE  STUD
https://img.zhisheji.com/Fsh44mjYqMML4_XqDpcg1koJ56ih?imageMogr2/thumbnail/750x/crop/!664x415a44a4,【怪兽来了】零食品牌全案策划设计落地,首页/专题-汇吃美食,104,22,7745,潜云设计团队
https://img.zhisheji.com/FrqmVLSjYZMpEEHYv7iu5DCraxEf?imageMogr2/thumbnail/750x/crop/!520x325a120a69,斯科/杂集/手写字型,平面-字体设计,24,8,3225,斯科字作
https://img.zhisheji.com/Fkr-cFTkX0V6gmj1c3hW0VosbaBt?imageMogr2/quality/100/sharpen/1/thumbnail/290x/crop/!290x180,高德地图/打卡邂逅我的城,平面-字体设计,41,11,5157,设计师田寒冰
https://img.zhisheji.com/ljOI4rHPq83MzIddW94WX_hZVhxa?imageMogr2/thumbnail/750x/crop/!547x342a118a77,近期项目整理,首页/专题-护肤彩妆,232,43,9198,赵子云
https://img.zhisheji.com/Fg80YAHn1JTLSMobT-eKFqcYWnTp?imageMogr2/quality/100/sharpen/1/thumbnail/290x/crop/!290x180,《 Lydia-莉迪亚 》,平面-吉祥物,61,19,4759,涅磐创设
https://img.zhisheji.com/FnRf0KaNKANDPOTPOOJj3PVZm-Po?imageMogr2/thumbnail/750x/crop/!568x355a92a161,韩国影视剧海报字体的中文版设计Vol.3,平面-字体设计,79,24,6940,PONY小天马
https://img.zhisheji.com/FoDODZdwsU0fBvzJRS8oA95KvilI?imageMogr2/quality/100/sharpen/1/thumbnail/290x/crop/!290x180,概念集合 六 Concept Collection / 6,平面-包装设计,42,14,4453,独奏者TheSolo
