url地址,作品名,作品类型,观看人数,点赞数,评论数,作者,头像
https://img.zhisheji.com/Fhn5pMTHmG2MZ5fp1tmhQAVNcH6W?imageMogr2/quality/100/sharpen/1/thumbnail/290x/crop/!290x180,欧诗漫 | 活动首页设计合辑,首页/专题-护肤彩妆,8337,105,18,点奥文化,https://www.zhisheji.com/uc_server/data/avatar/000/10/51/21_avatar_small.jpg?time=1565914391
https://img.zhisheji.com/Fm_lDrabKrwYxpberDu09DAKxGW_?imageMogr2/quality/100/sharpen/1/thumbnail/290x/crop/!290x180,| 氧记 | 品牌设计,平面-品牌,2905,41,14,sqwen,https://www.zhisheji.com/uc_server/data/avatar/000/47/55/50_avatar_small.jpg?time=1570781901
https://img.zhisheji.com/FvfS728EgubLo_GXQUN7L-l9ij2S?imageMogr2/thumbnail/750x/crop/!600x375a64a0,BHQS#近期案例,插画-商业插画,2077,22,9,BHQS,https://www.zhisheji.com/uc_server/data/avatar/000/47/91/86_avatar_small.jpg?time=1586770174
https://img.zhisheji.com/FnUufVPueAXKKzYKlqmZXTFp04wp?imageMogr2/quality/100/sharpen/1/thumbnail/290x/crop/!290x180,毫克字迹,平面-字体设计,1255,20,6,毫克,https://www.zhisheji.com/uc_server/data/avatar/000/25/68/41_avatar_small.jpg?time=1577714903
https://img.zhisheji.com/ls6PbmT-8eQ-Npd21WmqSo8wGOur?imageMogr2/thumbnail/750x/crop/!675x422a46a0,扫地机两个小视频,三维/C4D,4845,87,35,凌琪冰,https://www.zhisheji.com/uc_server/data/avatar/000/11/07/89_avatar_small.jpg?time=1530669469
https://img.zhisheji.com/FqL1vl_cSk33YSz8WI3X9ocw_qcT?imageMogr2/quality/100/sharpen/1/thumbnail/290x/crop/!290x180,MAVA/暖淳 详情页x2 / 视频,详情页-百货市场,5537,59,20,隔壁路人王,https://www.zhisheji.com/uc_server/data/avatar/000/54/64/51_avatar_small.jpg?time=1591329192
https://img.zhisheji.com/FhTxX8E4AODnMwayFRZ4a8T97ri2?imageMogr2/quality/100/sharpen/1/thumbnail/290x/crop/!290x180,洽洽品牌详情页视觉升级,详情页-汇吃美食,8564,126,36,点奥文化,https://www.zhisheji.com/uc_server/data/avatar/000/10/51/21_avatar_small.jpg?time=1565914391
https://img.zhisheji.com/Fp_B9qaspayT52SDQPP4hj9P1GcA?imageMogr2/quality/100/sharpen/1/thumbnail/290x/crop/!290x180,Onefold & Montpl,网页-企业官网,5641,81,37,青Tee,https://www.zhisheji.com/uc_server/data/avatar/000/44/91/88_avatar_small.jpg?time=1587100852
https://img.zhisheji.com/Fj-ztKvjWOhDJnvqyCHrWp1HvfuL?imageMogr2/quality/100/sharpen/1/thumbnail/290x/crop/!290x180,【手写字】三十而已,平面-字体设计,4426,53,15,希琪,https://www.zhisheji.com/uc_server/data/avatar/000/52/30/31_avatar_small.jpg?time=1585581426
https://img.zhisheji.com/FgpiR9oTym-UL0oKMwXzk7QEVYU0?imageMogr2/quality/100/sharpen/1/thumbnail/290x/crop/!290x180,那大概是我们为了“艺术”最奋不顾身的日子,动漫-中/长篇漫画,3736,63,28,此刻无实物,https://www.zhisheji.com/uc_server/data/avatar/000/53/85/03_avatar_small.jpg?time=1588382988
https://img.zhisheji.com/FrvoGrkHXsxcUZmvMYin139i3GO1?imageMogr2/thumbnail/750x/crop/!346x216a202a98,魑魅魍魉,平面-字体设计,2034,17,6,敬文齋,https://www.zhisheji.com/uc_server/data/avatar/000/37/62/74_avatar_small.jpg?time=1527663297
https://img.zhisheji.com/lvFTpY6UK7KzYZb7oaaVMB6QZga3?imageMogr2/thumbnail/750x/crop/!674x421a35a0,创意广告 | 脖子不舒服 用SKG颈部按摩仪 K5,摄影-其他,3960,39,8,FOODOGRAPH,https://www.zhisheji.com/uc_server/data/avatar/000/35/42/06_avatar_small.jpg?time=1519972015
https://img.zhisheji.com/FgFKgDkKOsCq-J1FjL1VDi0dXEdr?imageMogr2/quality/100/sharpen/1/thumbnail/290x/crop/!290x180,致设计7周年庆海报设计,海报-其他,9442,227,49,任星星,https://www.zhisheji.com/uc_server/data/avatar/000/35/40/19_avatar_small.jpg?time=1586491482
https://img.zhisheji.com/FuiBEadmBbQgO68-QDHRA9gp7jU0?imageMogr2/quality/100/sharpen/1/thumbnail/290x/crop/!290x180,【佰芙·宠物食品包装设计合集】让我们来撒狗粮~,平面-包装设计,5069,36,12,小狼君Langcer,https://www.zhisheji.com/uc_server/data/avatar/000/54/45/20_avatar_small.jpg?time=1590663599
https://img.zhisheji.com/Fh8sNUaCg6gn_8NNmy5GdecmCF-h?imageMogr2/quality/100/sharpen/1/thumbnail/290x/crop/!290x180,<Project Anew>人类撤离计划,三维/C4D,4404,42,24,Diszy,https://www.zhisheji.com/uc_server/data/avatar/000/53/14/98_avatar_small.jpg?time=1597637733
https://img.zhisheji.com/FrXu91_msh8Mp5BpfUspg4QjUba3?imageMogr2/quality/100/sharpen/1/thumbnail/290x/crop/!290x180,手写玩意│2020第17发,平面-字体设计,3975,31,12,白鸽Bygoo,https://www.zhisheji.com/uc_server/data/avatar/000/36/14/41_avatar_small.jpg?time=1592493830
https://img.zhisheji.com/lty3QeGJw4wdEfEjJQAev9MhSbFz?imageMogr2/thumbnail/750x/crop/!320x200a227a351,中策集团威狮品牌首页/详情页设计,详情页-汽车用品,8702,148,17,点奥文化,https://www.zhisheji.com/uc_server/data/avatar/000/10/51/21_avatar_small.jpg?time=1565914391
https://img.zhisheji.com/lkhd0VV4otcXAkk8GFFNItxyiawb?imageMogr2/thumbnail/750x/crop/!750x469a0a0,胖哥俩中秋月饼 x INLIGHT 中秋 月饼 礼盒,摄影-产品,5514,52,21,IN LIGHT摄影,https://www.zhisheji.com/uc_server/data/avatar/000/42/44/25_avatar_small.jpg?time=1551436668
https://img.zhisheji.com/lp9quA8XNmIFNdr3OblCIPgzAEGM?imageMogr2/thumbnail/750x/crop/!750x469a0a527,小刀一多品牌策划设计分享,首页/专题-户外运动,5532,50,26,青火chenxiao,https://www.zhisheji.com/uc_server/data/avatar/000/12/26/27_avatar_small.jpg?time=1550130564
https://img.zhisheji.com/FkUWfE98sp_w-Ou1kKfjYTIZGvKd?imageMogr2/thumbnail/750x/crop/!750x469a0a181,重庆禁烟海报,平面-海报,9165,243,37,学啊兵,https://www.zhisheji.com/uc_server/data/avatar/000/37/96/61_avatar_small.jpg?time=1531187096
https://img.zhisheji.com/lsKijIYXr_97yKhoSLXfuIdOOfSh?imageMogr2/thumbnail/750x/crop/!750x469a0a218,JZ形象拍摄  I  外景大片,摄影-时尚,4186,39,7,HOPE  STUD,https://www.zhisheji.com/uc_server/data/avatar/000/55/27/20_avatar_small.jpg?time=1594173005
https://img.zhisheji.com/Fsh44mjYqMML4_XqDpcg1koJ56ih?imageMogr2/thumbnail/750x/crop/!664x415a44a4,【怪兽来了】零食品牌全案策划设计落地,首页/专题-汇吃美食,8160,113,26,潜云设计团队,https://www.zhisheji.com/uc_server/data/avatar/000/01/49/11_avatar_small.jpg?time=1540896852
url地址,作品名,作品类型,观看人数,点赞数,评论数,作者,头像
https://img.zhisheji.com/FvFreGdSzjairvvIa_zJzAgpGEyD?imageMogr2/quality/100/sharpen/1/thumbnail/290x/crop/!290x180,2020上半年大佬金句名言集,设计师专访,8640,94,14,设计师专访,https://www.zhisheji.com/uc_server/data/avatar/000/02/40/22_avatar_small.jpg?time=1478140576
https://img.zhisheji.com/FqPToMdlCGm-eJuqwOZ_dlhWeeUx?imageMogr2/quality/100/sharpen/1/thumbnail/290x/crop/!290x180,七夕即将到来，赠你100句情话脱单,头条,2865,46,24,头条君,https://www.zhisheji.com/uc_server/data/avatar/000/09/50/09_avatar_small.jpg?time=1478140334
https://img.zhisheji.com/lpzTh4xDVSAfgGxs7bi9Bi-M4t3l?imageMogr2/thumbnail/750x/crop/!658x411a46a190,【茶小新】茶叶首页设计——云度视觉,首页/专题-汇吃美食,524,14,2,叶纸Kim,https://www.zhisheji.com/uc_server/data/avatar/000/45/31/66_avatar_small.jpg?time=1589523003
https://img.zhisheji.com/Fo8TPFaQ-fDs31epkj0ajaydeNTN?imageMogr2/quality/100/sharpen/1/thumbnail/290x/crop/!290x180,【润诗洗发水】洗发水品牌新视觉作品分享,详情页-护肤彩妆,362,6,0,茄子电商设计,https://www.zhisheji.com/uc_server/data/avatar/000/01/76/71_avatar_small.jpg?time=1545370179
https://img.zhisheji.com/FouYg1fUFFMpz1HeLKJYYo08tM1J?imageMogr2/quality/100/sharpen/1/thumbnail/290x/crop/!290x180,大只鸡腿 | 餐饮类品牌VI视觉设计,平面-品牌,435,7,2,点奥文化,https://www.zhisheji.com/uc_server/data/avatar/000/10/51/21_avatar_small.jpg?time=1565914391
https://img.zhisheji.com/ltYnGtEi5VOro_luMwuXRzMWYjg9?imageMogr2/thumbnail/750x/crop/!750x469a0a28,创作片,摄影-修图后期,1838,27,8,修图师小鱼,https://www.zhisheji.com/uc_server/data/avatar/000/34/86/24_avatar_small.jpg?time=1515401471
https://img.zhisheji.com/Fs8C1_j-6DFl7hcKsPVvXwc4Fuxm?imageMogr2/quality/100/sharpen/1/thumbnail/290x/crop/!290x180,谁最暴躁？十二生肖,插画-涂鸦潮流,2044,35,13,刘德良,https://www.zhisheji.com/uc_server/data/avatar/000/22/67/18_avatar_small.jpg?time=1565575093
https://img.zhisheji.com/Fp8AKzI4FYDEtb3RWFIaYydVXPb2?imageMogr2/quality/100/sharpen/1/thumbnail/290x/crop/!290x180,2019年游戏页面总结,网页-游戏/娱乐,1756,42,20,Fish慧,https://www.zhisheji.com/uc_server/data/avatar/001/00/43/88_avatar_small.jpg?time=1597847561
https://img.zhisheji.com/li56oB52_3zQhvsjlT0dA2jMcinc?imageMogr2/thumbnail/750x/crop/!677x423a39a0,独奏-M01-创意短片,三维/C4D,4395,56,15,isometric,https://www.zhisheji.com/uc_server/data/avatar/001/00/43/52_avatar_small.jpg?time=1597832459
https://img.zhisheji.com/FsGXZWXY22WKiVHdWNnmX_jdQuRu?imageMogr2/thumbnail/750x/crop/!750x469a0a0,这些设计看起来好好吃～,首页/专题-汇吃美食,3573,56,21,慵懒的大川,https://www.zhisheji.com/uc_server/data/avatar/000/02/19/82_avatar_small.jpg?time=1597827581
https://img.zhisheji.com/Fhn5pMTHmG2MZ5fp1tmhQAVNcH6W?imageMogr2/quality/100/sharpen/1/thumbnail/290x/crop/!290x180,欧诗漫 | 活动首页设计合辑,首页/专题-护肤彩妆,8361,106,19,点奥文化,https://www.zhisheji.com/uc_server/data/avatar/000/10/51/21_avatar_small.jpg?time=1565914391
https://img.zhisheji.com/Fm_lDrabKrwYxpberDu09DAKxGW_?imageMogr2/quality/100/sharpen/1/thumbnail/290x/crop/!290x180,| 氧记 | 品牌设计,平面-品牌,2934,41,14,sqwen,https://www.zhisheji.com/uc_server/data/avatar/000/47/55/50_avatar_small.jpg?time=1570781901
https://img.zhisheji.com/FvfS728EgubLo_GXQUN7L-l9ij2S?imageMogr2/thumbnail/750x/crop/!600x375a64a0,BHQS#近期案例,插画-商业插画,2082,22,9,BHQS,https://www.zhisheji.com/uc_server/data/avatar/000/47/91/86_avatar_small.jpg?time=1586770174
https://img.zhisheji.com/FnUufVPueAXKKzYKlqmZXTFp04wp?imageMogr2/quality/100/sharpen/1/thumbnail/290x/crop/!290x180,毫克字迹,平面-字体设计,1262,20,6,毫克,https://www.zhisheji.com/uc_server/data/avatar/000/25/68/41_avatar_small.jpg?time=1577714903
https://img.zhisheji.com/ls6PbmT-8eQ-Npd21WmqSo8wGOur?imageMogr2/thumbnail/750x/crop/!675x422a46a0,扫地机两个小视频,三维/C4D,4877,89,35,凌琪冰,https://www.zhisheji.com/uc_server/data/avatar/000/11/07/89_avatar_small.jpg?time=1530669469
https://img.zhisheji.com/FqL1vl_cSk33YSz8WI3X9ocw_qcT?imageMogr2/quality/100/sharpen/1/thumbnail/290x/crop/!290x180,MAVA/暖淳 详情页x2 / 视频,详情页-百货市场,5562,59,20,隔壁路人王,https://www.zhisheji.com/uc_server/data/avatar/000/54/64/51_avatar_small.jpg?time=1591329192
https://img.zhisheji.com/FhTxX8E4AODnMwayFRZ4a8T97ri2?imageMogr2/quality/100/sharpen/1/thumbnail/290x/crop/!290x180,洽洽品牌详情页视觉升级,详情页-汇吃美食,8570,126,36,点奥文化,https://www.zhisheji.com/uc_server/data/avatar/000/10/51/21_avatar_small.jpg?time=1565914391
https://img.zhisheji.com/Fp_B9qaspayT52SDQPP4hj9P1GcA?imageMogr2/quality/100/sharpen/1/thumbnail/290x/crop/!290x180,Onefold & Montpl,网页-企业官网,5710,81,37,青Tee,https://www.zhisheji.com/uc_server/data/avatar/000/44/91/88_avatar_small.jpg?time=1587100852
https://img.zhisheji.com/Fj-ztKvjWOhDJnvqyCHrWp1HvfuL?imageMogr2/quality/100/sharpen/1/thumbnail/290x/crop/!290x180,【手写字】三十而已,平面-字体设计,4437,53,15,希琪,https://www.zhisheji.com/uc_server/data/avatar/000/52/30/31_avatar_small.jpg?time=1585581426
https://img.zhisheji.com/FgpiR9oTym-UL0oKMwXzk7QEVYU0?imageMogr2/quality/100/sharpen/1/thumbnail/290x/crop/!290x180,那大概是我们为了“艺术”最奋不顾身的日子,动漫-中/长篇漫画,3745,63,28,此刻无实物,https://www.zhisheji.com/uc_server/data/avatar/000/53/85/03_avatar_small.jpg?time=1588382988
https://img.zhisheji.com/FrvoGrkHXsxcUZmvMYin139i3GO1?imageMogr2/thumbnail/750x/crop/!346x216a202a98,魑魅魍魉,平面-字体设计,2040,17,6,敬文齋,https://www.zhisheji.com/uc_server/data/avatar/000/37/62/74_avatar_small.jpg?time=1527663297
https://img.zhisheji.com/lvFTpY6UK7KzYZb7oaaVMB6QZga3?imageMogr2/thumbnail/750x/crop/!674x421a35a0,创意广告 | 脖子不舒服 用SKG颈部按摩仪 K5,摄影-其他,3969,39,8,FOODOGRAPH,https://www.zhisheji.com/uc_server/data/avatar/000/35/42/06_avatar_small.jpg?time=1519972015
https://img.zhisheji.com/FgFKgDkKOsCq-J1FjL1VDi0dXEdr?imageMogr2/quality/100/sharpen/1/thumbnail/290x/crop/!290x180,致设计7周年庆海报设计,海报-其他,9453,227,49,任星星,https://www.zhisheji.com/uc_server/data/avatar/000/35/40/19_avatar_small.jpg?time=1586491482
https://img.zhisheji.com/FuiBEadmBbQgO68-QDHRA9gp7jU0?imageMogr2/quality/100/sharpen/1/thumbnail/290x/crop/!290x180,【佰芙·宠物食品包装设计合集】让我们来撒狗粮~,平面-包装设计,5088,36,12,小狼君Langcer,https://www.zhisheji.com/uc_server/data/avatar/000/54/45/20_avatar_small.jpg?time=1590663599
https://img.zhisheji.com/Fh8sNUaCg6gn_8NNmy5GdecmCF-h?imageMogr2/quality/100/sharpen/1/thumbnail/290x/crop/!290x180,<Project Anew>人类撤离计划,三维/C4D,4408,42,24,Diszy,https://www.zhisheji.com/uc_server/data/avatar/000/53/14/98_avatar_small.jpg?time=1597637733
https://img.zhisheji.com/FrXu91_msh8Mp5BpfUspg4QjUba3?imageMogr2/quality/100/sharpen/1/thumbnail/290x/crop/!290x180,手写玩意│2020第17发,平面-字体设计,3986,31,12,白鸽Bygoo,https://www.zhisheji.com/uc_server/data/avatar/000/36/14/41_avatar_small.jpg?time=1592493830
https://img.zhisheji.com/lty3QeGJw4wdEfEjJQAev9MhSbFz?imageMogr2/thumbnail/750x/crop/!320x200a227a351,中策集团威狮品牌首页/详情页设计,详情页-汽车用品,8711,148,17,点奥文化,https://www.zhisheji.com/uc_server/data/avatar/000/10/51/21_avatar_small.jpg?time=1565914391
https://img.zhisheji.com/lkhd0VV4otcXAkk8GFFNItxyiawb?imageMogr2/thumbnail/750x/crop/!750x469a0a0,胖哥俩中秋月饼 x INLIGHT 中秋 月饼 礼盒,摄影-产品,5517,52,21,IN LIGHT摄影,https://www.zhisheji.com/uc_server/data/avatar/000/42/44/25_avatar_small.jpg?time=1551436668
https://img.zhisheji.com/lp9quA8XNmIFNdr3OblCIPgzAEGM?imageMogr2/thumbnail/750x/crop/!750x469a0a527,小刀一多品牌策划设计分享,首页/专题-户外运动,5549,50,26,青火chenxiao,https://www.zhisheji.com/uc_server/data/avatar/000/12/26/27_avatar_small.jpg?time=1550130564
https://img.zhisheji.com/FkUWfE98sp_w-Ou1kKfjYTIZGvKd?imageMogr2/thumbnail/750x/crop/!750x469a0a181,重庆禁烟海报,平面-海报,9174,243,37,学啊兵,https://www.zhisheji.com/uc_server/data/avatar/000/37/96/61_avatar_small.jpg?time=1531187096
https://img.zhisheji.com/lsKijIYXr_97yKhoSLXfuIdOOfSh?imageMogr2/thumbnail/750x/crop/!750x469a0a218,JZ形象拍摄  I  外景大片,摄影-时尚,4190,39,7,HOPE  STUD,https://www.zhisheji.com/uc_server/data/avatar/000/55/27/20_avatar_small.jpg?time=1594173005
https://img.zhisheji.com/Fsh44mjYqMML4_XqDpcg1koJ56ih?imageMogr2/thumbnail/750x/crop/!664x415a44a4,【怪兽来了】零食品牌全案策划设计落地,首页/专题-汇吃美食,8166,113,26,潜云设计团队,https://www.zhisheji.com/uc_server/data/avatar/000/01/49/11_avatar_small.jpg?time=1540896852
